kod;obec;registrovani;obalky;platne;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
590274;Babice;167;126;126;40;0;0;0;9;19;0;9;1;0;0;0;0;0;8;2;3;0;7;1;16;11;0;0
590282;Bačice;165;104;104;33;0;0;0;23;7;0;1;0;1;0;1;0;1;6;4;0;0;14;2;5;5;0;1
544833;Bačkovice;88;53;52;18;0;0;0;7;5;0;1;0;1;0;0;0;0;1;0;0;0;4;3;3;9;0;0
590304;Benetice;150;117;117;41;0;0;0;6;23;0;3;0;1;0;0;0;0;4;1;0;0;10;2;11;15;0;0
590312;Biskupice-Pulkov;222;118;118;48;0;0;0;13;14;0;7;0;1;1;2;0;0;8;0;1;2;6;2;6;7;0;0
590321;Blatnice;303;177;177;66;0;0;0;25;26;0;7;0;1;0;0;2;0;2;0;1;1;20;1;9;16;0;0
550400;Bohušice;124;76;76;20;0;0;0;9;10;0;6;0;1;0;0;0;0;4;0;0;0;11;9;2;4;0;0
590347;Bochovice;137;104;102;42;0;0;0;2;10;0;2;0;0;0;0;1;0;4;1;3;1;10;8;9;8;0;1
590363;Bransouze;200;149;148;48;0;0;0;16;15;0;10;3;1;0;0;0;0;7;0;1;1;3;5;12;23;0;3
590380;Březník;559;407;407;159;1;0;2;36;28;0;19;0;6;0;1;0;2;9;5;8;3;66;6;27;28;0;1
590401;Budišov;980;595;591;151;1;0;2;71;70;0;47;3;5;2;0;1;3;18;4;6;7;59;7;51;82;1;0
590410;Budkov;285;183;182;41;0;0;0;15;43;0;8;0;6;0;0;0;0;14;0;0;4;20;3;20;8;0;0
590428;Cidlina;73;59;59;21;0;0;0;11;11;0;2;1;1;0;0;0;0;1;0;0;0;8;0;2;1;0;0
590436;Čáslavice;443;316;313;84;0;0;2;59;20;2;17;2;4;2;1;0;0;12;0;5;0;39;10;31;23;0;0
553964;Častohostice;159;99;99;27;0;0;0;24;3;0;4;0;0;0;0;1;0;8;1;1;0;9;1;16;4;0;0
590444;Čechočovice;232;157;156;51;1;0;0;23;6;0;4;0;3;0;0;0;0;7;2;4;1;32;2;15;5;0;0
590452;Čechtín;249;204;204;74;0;0;1;18;25;0;6;1;2;0;0;0;0;7;0;0;0;17;1;22;30;0;0
590461;Červená Lhota;151;111;110;39;0;1;0;3;23;0;7;0;1;0;0;1;1;4;0;1;0;7;3;9;10;0;0
590479;Číhalín;159;129;129;23;0;0;1;17;21;0;11;0;0;0;0;0;0;11;1;0;1;12;2;13;16;0;0
590487;Číchov;201;129;129;45;1;0;0;14;10;0;9;1;4;0;0;1;0;1;0;1;0;11;1;11;19;0;0
590495;Čikov;180;120;116;30;0;1;1;23;4;0;13;0;4;0;0;0;0;2;3;1;1;10;5;14;4;0;0
590509;Číměř;163;119;119;52;0;0;1;13;14;0;1;1;0;0;0;0;0;9;0;0;1;8;7;4;8;0;0
590517;Dalešice;496;297;294;59;1;0;0;56;62;0;17;1;0;0;0;0;0;7;0;4;3;48;5;17;14;0;0
590525;Dědice;105;76;76;18;0;0;0;16;9;0;3;0;0;0;0;0;1;7;0;0;1;9;2;8;2;0;0
590533;Dešov;358;204;204;58;0;0;1;13;29;1;7;2;0;1;0;1;0;25;0;2;2;19;13;15;14;1;0
587664;Dolní Lažany;123;92;92;37;0;0;0;22;7;0;7;0;0;0;0;1;0;5;0;0;3;2;0;3;5;0;0
590550;Dolní Vilémovice;323;209;209;58;0;0;0;37;28;0;10;3;0;0;0;1;0;4;1;2;1;19;2;23;20;0;0
590568;Domamil;242;161;161;61;0;0;0;13;40;0;1;0;1;0;0;1;0;14;0;1;0;7;3;10;9;0;0
590576;Dukovany;682;466;458;164;0;0;1;64;29;0;44;1;4;3;1;0;0;12;2;5;3;50;9;42;24;0;0
590584;Hartvíkovice;452;275;270;95;0;0;0;38;29;0;16;0;2;0;0;1;0;5;1;3;1;29;9;22;19;0;0
590592;Heraltice;309;205;205;58;0;0;0;18;14;2;11;5;1;0;0;0;2;7;0;4;1;26;9;16;30;1;0
590614;Hluboké;174;97;93;29;0;0;0;9;14;1;8;1;0;0;0;0;1;4;1;0;0;6;1;14;4;0;0
590622;Hodov;267;180;180;67;0;0;1;5;29;0;17;2;1;0;0;0;1;7;0;0;1;13;5;15;16;0;0
590631;Horní Heřmanice;105;77;77;27;0;0;0;7;7;0;6;1;0;0;0;0;1;2;1;1;2;8;2;2;10;0;0
550612;Horní Smrčné;46;40;40;4;0;0;0;2;9;0;5;0;2;0;0;0;0;1;0;1;0;5;3;4;4;0;0
590649;Horní Újezd;220;155;154;26;0;0;0;15;17;0;14;1;2;1;0;1;0;9;1;2;0;11;8;21;25;0;0
590657;Horní Vilémovice;66;48;47;15;0;0;0;4;4;0;2;0;0;0;0;0;1;1;0;0;1;5;0;7;7;0;0
590665;Hornice;68;47;46;6;0;0;0;7;7;0;8;0;0;0;0;0;0;7;0;0;0;3;1;4;3;0;0
590673;Hrotovice;1432;858;851;233;0;0;1;113;104;0;67;4;4;1;2;2;0;28;19;6;7;74;23;55;106;0;2
550639;Hroznatín;86;56;56;21;0;0;0;3;5;0;5;0;0;0;0;0;1;2;0;0;0;7;1;8;3;0;0
590690;Hvězdoňovice;75;44;44;16;0;0;0;7;1;0;0;0;0;0;0;0;0;6;0;0;0;4;0;6;4;0;0
590703;Chlístov;230;161;160;59;0;0;0;13;13;0;11;3;3;1;1;0;0;5;2;4;0;13;2;19;11;0;0
590711;Chlum;124;90;90;16;0;0;0;12;16;1;3;1;0;1;0;0;0;2;0;0;1;8;6;17;6;0;0
550477;Chotěbudice;88;49;49;10;0;0;0;0;13;0;6;0;0;0;0;0;0;2;0;0;2;5;0;4;7;0;0
590746;Jakubov u Moravských Budějovic;503;318;316;111;0;0;0;34;42;0;12;3;2;0;0;1;0;23;0;4;1;38;4;22;19;0;0
590754;Jaroměřice nad Rokytnou;3355;2016;2002;628;2;2;5;252;228;5;129;11;17;1;2;4;6;51;3;17;9;251;42;151;184;0;2
590762;Jasenice;165;116;116;22;0;0;0;9;19;0;4;0;1;0;0;4;0;5;1;1;0;15;9;6;20;0;0
590789;Jemnice;3317;1958;1951;550;1;1;2;212;207;2;196;5;18;1;0;1;4;101;4;17;18;176;78;175;181;1;0
590797;Jinošov;186;123;122;23;1;0;1;16;13;0;15;0;0;1;0;0;0;10;1;2;2;17;3;4;13;0;0
550591;Jiratice;56;47;47;11;1;0;0;3;16;0;4;0;0;0;0;0;0;1;0;0;1;1;1;2;6;0;0
590801;Kamenná;182;131;129;41;0;0;0;9;9;0;10;1;1;0;1;0;0;1;1;0;6;19;8;9;13;0;0
590819;Kdousov;97;62;61;19;0;0;0;4;3;0;4;0;0;0;0;0;0;9;0;2;0;7;3;5;5;0;0
590827;Kladeruby nad Oslavou;159;107;107;44;0;0;0;15;12;0;1;0;2;0;0;0;0;3;0;0;2;11;2;0;15;0;0
590835;Klučov;143;110;109;23;0;0;1;15;10;0;9;0;2;0;0;0;1;3;1;0;0;20;4;9;11;0;0
590851;Kojatice;225;133;131;22;1;0;1;20;26;0;12;0;0;1;0;0;0;7;0;0;0;11;3;1;26;0;0
510645;Kojatín;71;51;51;23;0;0;0;3;4;0;5;0;0;1;0;0;0;0;0;0;0;2;3;4;6;0;0
590860;Kojetice;353;236;236;79;0;0;1;23;13;0;32;1;2;1;0;0;0;13;1;0;1;21;4;25;19;0;0
590878;Komárovice;101;58;58;19;0;0;0;10;1;0;1;0;0;0;0;1;0;2;0;0;0;9;0;10;5;0;0
590886;Koněšín;405;246;244;98;0;0;0;23;25;0;20;1;2;0;1;0;0;14;1;7;1;20;2;15;13;1;0
590894;Kostníky;158;96;96;29;0;0;0;9;14;0;4;1;3;0;0;0;0;7;0;1;2;5;3;10;8;0;0
590908;Kouty;312;215;215;57;0;0;1;15;25;1;10;0;1;0;0;1;0;12;0;1;2;24;7;23;35;0;0
590916;Kozlany;113;60;60;11;0;0;0;2;18;1;10;0;0;1;0;0;0;5;0;1;0;2;0;4;5;0;0
545309;Kožichovice;318;219;217;78;0;0;0;28;18;0;11;0;0;0;0;1;0;13;0;2;0;32;4;15;14;1;0
550710;Krahulov;231;165;164;50;1;0;0;24;12;0;15;1;0;1;0;0;0;5;0;0;0;17;4;14;19;0;1
590941;Kralice nad Oslavou;785;481;478;140;0;0;0;50;36;0;52;5;2;0;0;1;0;20;20;5;3;51;13;52;28;0;0
590959;Kramolín;111;76;75;29;0;0;0;3;6;0;7;0;1;0;0;1;0;3;0;4;0;7;4;4;6;0;0
590967;Krhov;160;97;97;33;0;0;0;13;16;0;2;0;4;0;0;1;2;3;3;0;0;9;2;4;5;0;0
590975;Krokočín;170;104;104;22;0;0;0;15;17;0;3;0;0;0;1;0;1;3;1;3;1;8;3;14;12;0;0
550302;Kuroslepy;133;93;93;40;0;0;0;7;6;0;5;0;1;0;0;0;0;4;0;0;1;15;3;6;5;0;0
510556;Láz;235;161;161;48;0;0;0;12;18;0;11;0;1;0;0;0;1;13;2;0;1;19;4;9;22;0;0
590983;Lesná;77;57;57;17;0;0;0;9;4;0;0;0;2;0;0;0;0;4;0;0;0;5;0;8;7;1;0
590991;Lesní Jakubov;478;457;453;103;3;1;19;42;23;2;61;2;20;0;2;6;14;5;1;2;4;55;10;63;15;0;0
591009;Lesonice;395;230;230;79;0;0;0;29;24;0;11;0;2;0;0;4;0;14;0;1;1;27;7;17;14;0;0
573485;Lesůňky;74;60;60;26;0;0;0;9;3;0;0;0;0;0;0;1;0;3;4;1;0;8;0;0;5;0;0
591025;Lhánice;134;95;95;29;0;0;0;10;18;2;7;0;3;3;0;0;0;3;0;2;2;8;1;3;4;0;0
544876;Lhotice;130;81;81;26;0;0;0;5;6;0;1;0;0;0;0;0;0;13;0;1;0;6;1;14;8;0;0
591041;Lipník;298;202;199;59;0;0;0;39;23;0;18;0;1;0;0;0;1;5;0;3;0;21;0;17;12;0;0
550507;Litohoř;421;232;231;85;0;0;1;28;21;0;18;4;3;0;0;0;0;10;0;2;2;18;4;23;10;0;2
591068;Litovany;119;83;82;33;0;0;2;8;13;1;6;0;0;0;0;0;0;1;0;1;0;4;4;2;7;0;0
587605;Lomy;106;76;76;14;0;0;0;10;16;0;9;0;0;0;0;0;0;6;0;0;0;12;1;1;7;0;0
591092;Loukovice;93;60;60;17;0;0;0;11;7;0;3;0;0;0;0;0;0;2;1;0;0;7;2;5;5;0;0
544957;Lovčovice;52;48;47;6;0;0;0;11;8;0;0;0;0;0;0;0;0;3;0;0;0;13;0;0;6;0;0
550566;Lukov;313;228;228;57;0;0;1;39;39;0;11;1;1;0;0;0;0;7;1;6;1;19;4;21;20;0;0
591114;Markvartice;205;141;140;38;1;0;0;14;11;0;21;5;1;0;0;0;0;7;0;1;1;14;5;11;10;0;0
550388;Martínkov;205;164;161;46;0;0;2;24;39;0;2;0;1;0;0;0;0;5;0;2;4;9;3;11;13;0;0
591122;Mastník;194;130;130;36;0;0;0;18;11;0;22;0;0;0;0;0;0;3;1;1;0;10;4;14;9;0;1
545031;Menhartice;111;74;73;20;0;0;0;3;13;0;2;0;2;0;0;1;0;10;0;0;0;11;3;4;4;0;0
591149;Meziříčko;75;30;30;6;1;0;0;9;3;0;3;0;0;0;0;0;0;0;0;0;1;1;0;2;4;0;0
591157;Mikulovice;181;131;130;56;0;0;0;10;10;0;7;0;2;0;0;0;1;4;1;0;2;14;3;12;8;0;0
591165;Mladoňovice;325;185;184;54;0;0;1;14;37;0;20;3;0;1;0;0;0;21;1;1;0;2;7;12;10;0;0
591173;Mohelno;1119;681;675;216;3;0;2;79;58;2;68;4;7;1;0;0;2;28;2;12;4;73;18;43;53;0;0
591181;Moravské Budějovice;6106;3746;3731;984;0;1;8;388;300;4;426;14;32;4;2;8;4;200;6;50;26;377;145;395;349;4;4
591190;Myslibořice;570;310;309;112;0;0;0;31;26;0;25;5;3;2;2;0;0;13;1;0;3;38;7;23;17;0;1
550779;Naloučany;132;95;95;30;1;0;1;8;7;0;3;3;3;0;0;1;0;6;0;2;1;9;4;3;12;0;1
591211;Náměšť nad Oslavou;4026;2558;2540;811;1;0;2;312;176;3;203;9;15;7;3;5;8;93;11;29;33;331;68;206;212;0;2
591220;Nárameč;280;171;169;52;0;0;0;17;19;0;21;0;3;0;1;1;1;5;0;0;3;15;4;8;19;0;0
591238;Nimpšov;59;39;39;9;0;0;0;16;4;0;0;0;0;0;0;2;0;1;0;3;0;2;0;0;2;0;0
591246;Nová Ves;183;139;139;42;0;0;0;12;18;4;5;1;1;0;0;1;0;9;1;0;1;20;5;10;9;0;0
591254;Nové Syrovice;766;403;402;136;1;0;2;54;34;0;21;0;3;1;1;2;4;20;2;5;6;41;8;27;33;0;1
591262;Nový Telečkov;92;65;65;14;1;0;1;11;10;0;4;0;1;0;0;0;0;4;0;0;0;9;0;7;3;0;0
510980;Ocmanice;263;170;169;69;1;0;0;18;12;0;15;0;1;0;0;0;0;7;0;0;2;19;0;12;13;0;0
591289;Odunec;74;56;56;11;0;0;0;7;10;0;7;0;0;0;0;0;0;1;1;1;0;5;1;6;5;1;0
591297;Okarec;98;70;70;17;0;0;0;14;0;0;7;0;0;0;0;0;0;3;0;1;0;16;2;5;5;0;0
546933;Okřešice;140;102;101;36;0;0;0;7;20;0;7;4;0;0;3;0;0;7;0;2;0;8;1;3;3;0;0
591301;Okříšky;1701;1116;1103;310;1;0;1;122;85;0;143;13;12;4;1;3;6;34;1;18;9;97;26;75;142;0;0
591319;Opatov;633;395;393;120;1;0;1;59;26;0;24;0;7;0;2;2;1;25;1;12;2;47;2;35;26;0;0
591327;Oponešice;145;89;89;20;0;0;0;6;19;0;6;0;1;1;0;0;0;10;0;1;0;11;2;1;11;0;0
591335;Ostašov;116;82;82;19;0;0;0;11;5;0;7;0;0;0;1;3;0;1;0;0;1;9;4;10;11;0;0
550469;Pálovice;134;84;83;8;0;0;0;10;11;0;8;2;0;0;0;0;0;5;0;0;0;25;0;6;8;0;0
591360;Petrovice;347;228;227;75;0;0;0;24;12;0;13;0;2;1;0;1;0;12;3;6;5;26;12;13;22;0;0
591378;Petrůvky;94;80;80;21;0;0;0;14;10;0;8;0;0;0;0;0;1;3;0;8;0;6;2;6;1;0;0
550370;Pokojovice;83;69;69;18;0;0;0;9;11;1;2;0;1;0;0;0;0;3;0;3;0;7;3;3;8;0;0
591394;Police;285;205;205;45;0;0;1;24;8;0;16;0;1;0;0;1;0;61;0;1;1;12;5;16;13;0;0
591408;Popůvky;71;52;52;12;0;0;0;15;7;0;3;0;1;0;0;0;0;1;0;1;0;4;0;6;2;0;0
591416;Pozďatín;130;87;87;22;0;0;2;16;11;0;3;1;5;0;0;0;1;4;1;1;0;3;5;6;6;0;0
591424;Přeckov;56;47;47;5;0;0;0;1;22;0;2;0;0;0;0;0;0;2;0;1;0;2;4;3;5;0;0
591432;Předín;575;350;348;107;0;0;0;45;32;1;18;0;0;0;0;1;1;19;1;7;4;38;9;40;24;0;1
591441;Přešovice;121;77;77;33;0;0;0;11;4;0;1;0;4;0;0;1;0;0;0;0;1;7;0;8;7;0;0
591459;Přibyslavice;639;429;428;105;0;0;2;62;71;0;19;1;4;0;0;0;3;20;4;4;3;57;10;31;32;0;0
544752;Příštpo;229;135;134;44;0;0;1;20;13;0;8;0;2;0;0;0;1;4;0;0;0;23;2;7;9;0;0
591491;Pucov;133;72;72;31;0;0;0;6;5;0;2;0;0;0;0;0;0;1;0;3;0;14;0;3;6;0;1
591505;Pyšel;381;260;260;70;1;0;0;30;52;0;7;2;5;0;0;0;1;6;10;3;3;23;10;14;23;0;0
511307;Rácovice;91;72;72;13;0;0;0;5;19;0;8;0;1;0;0;0;1;2;2;1;0;7;0;9;4;0;0
591521;Račice;63;50;50;19;0;0;0;6;2;0;1;0;0;0;0;0;0;6;0;0;0;6;3;2;5;0;0
550493;Radkovice u Budče;119;66;63;14;0;0;1;7;13;0;0;0;0;0;0;1;1;1;0;1;0;13;0;6;5;0;0
591548;Radkovice u Hrotovic;258;185;185;63;1;0;0;22;38;0;11;0;5;0;0;1;1;10;0;3;1;7;2;6;14;0;0
591556;Radonín;62;37;37;6;0;0;0;6;7;0;0;0;0;1;0;1;0;3;0;1;0;4;0;2;6;0;0
591564;Radošov;142;112;112;34;0;0;0;9;16;0;3;0;1;0;0;0;0;7;0;1;5;9;5;10;12;0;0
545040;Radotice;119;74;73;28;0;0;0;2;12;0;2;0;0;1;0;0;0;9;0;1;2;7;2;1;6;0;0
591581;Rapotice;431;305;303;74;2;0;0;36;38;0;28;0;2;0;0;1;0;16;4;5;4;33;11;16;33;0;0
591602;Rohy;102;65;65;22;0;0;0;7;3;0;3;1;0;0;0;0;0;5;1;1;3;2;2;6;9;0;0
591611;Rokytnice nad Rokytnou;695;490;489;134;0;0;1;57;104;0;32;1;2;0;0;0;3;14;2;4;4;32;11;52;35;1;0
591629;Rouchovany;958;653;651;169;1;1;0;45;51;2;44;0;5;0;1;1;1;11;3;9;7;83;10;50;155;1;1
591637;Rudíkov;563;382;381;132;0;2;0;39;37;0;32;1;5;0;0;0;0;12;2;8;7;20;12;43;27;0;2
591645;Římov;344;234;233;68;0;0;0;23;22;0;13;0;2;0;0;0;0;3;1;9;0;45;5;25;17;0;0
511081;Sedlec;206;129;129;30;0;0;0;20;17;0;9;0;1;0;1;0;4;1;2;4;1;24;0;4;11;0;0
591688;Slavětice;198;133;133;29;0;0;0;26;26;0;8;1;0;0;0;2;1;2;0;0;0;25;3;4;6;0;0
591700;Slavičky;209;144;143;52;0;0;2;14;20;0;4;1;2;0;0;1;1;9;0;1;0;12;1;15;8;0;0
545180;Slavíkovice;187;109;108;22;0;0;0;21;4;1;7;0;2;1;0;0;1;15;0;1;1;16;3;8;5;0;0
591726;Smrk;218;132;132;27;1;0;1;24;9;0;19;0;0;0;0;0;0;3;0;2;2;18;4;3;19;0;0
591742;Stařeč;1305;880;875;258;0;0;1;69;66;0;105;5;11;1;1;2;5;50;3;8;3;110;48;82;47;0;0
587460;Stropešín;108;64;64;24;0;0;0;11;2;0;3;0;0;0;0;0;0;0;1;1;0;10;2;5;5;0;0
554871;Střítež;415;279;278;96;0;0;0;21;20;0;27;1;0;3;0;0;1;9;0;13;4;29;5;27;21;0;1
591769;Studenec;460;281;280;70;1;0;0;62;32;0;11;1;3;0;0;0;3;6;2;4;1;35;3;21;25;0;0
591777;Studnice;122;68;68;9;0;0;1;11;7;0;1;0;1;0;0;0;0;4;0;0;1;9;2;10;12;0;0
591785;Sudice;295;182;182;27;0;0;3;37;21;1;17;3;5;1;1;3;2;2;0;3;0;25;7;4;20;0;0
591793;Svatoslav;205;124;123;48;1;0;0;9;12;0;14;1;0;0;0;2;0;9;1;2;0;3;3;14;4;0;0
591807;Šebkovice;376;228;227;87;0;0;1;28;12;0;10;2;2;0;1;0;0;9;2;4;2;18;4;28;17;0;0
591815;Štěměchy;244;167;167;27;1;0;1;28;20;0;16;0;0;0;0;0;0;6;0;1;2;22;5;13;25;0;0
591823;Štěpkov;85;61;61;22;0;0;0;6;13;0;2;0;0;0;0;0;1;1;0;0;2;5;0;3;6;0;0
591840;Trnava;556;369;367;109;2;0;1;24;56;2;29;0;0;1;0;0;1;17;2;7;3;37;18;27;31;0;0
591858;Třebelovice;345;240;240;76;0;0;1;16;49;1;11;1;1;0;0;2;1;12;0;0;4;21;2;17;24;0;1
591866;Třebenice;370;220;220;78;1;0;0;27;18;0;18;0;1;0;0;0;1;8;1;0;1;22;4;23;17;0;0
590266;Třebíč;29347;18564;18482;5371;9;6;14;1629;1149;12;1910;129;139;13;11;31;41;754;42;315;235;2281;798;2081;1491;7;14
550311;Třesov;71;51;51;26;1;0;0;1;9;0;0;0;0;0;0;0;0;4;0;0;0;4;0;2;4;0;0
587699;Valdíkov;88;54;53;13;0;0;0;3;6;1;2;0;0;0;0;0;0;7;0;2;0;6;1;3;9;0;0
591874;Valeč;594;410;409;131;0;0;0;39;60;0;34;1;8;1;0;2;1;7;2;4;6;46;4;30;33;0;0
588342;Vícenice;146;92;91;35;0;0;1;13;5;0;8;0;1;0;0;0;0;6;0;0;0;4;0;8;10;0;0
511242;Vícenice u Náměště nad Oslavou;313;216;211;93;0;2;3;26;14;0;10;5;0;0;0;0;0;6;0;1;1;23;3;13;11;0;0
591904;Vladislav;972;650;649;195;2;0;3;106;34;0;32;2;7;1;2;4;5;46;1;15;5;79;9;50;51;0;0
591912;Vlčatín;110;81;81;16;0;0;1;6;17;0;8;0;2;0;0;0;0;2;0;0;0;7;2;10;10;0;0
591939;Výčapy;665;431;431;152;0;0;0;18;61;0;30;2;3;0;0;3;1;24;3;2;3;35;12;52;27;2;1
591947;Zahrádka;107;72;71;29;0;0;0;9;9;0;2;0;1;0;0;0;0;0;0;0;2;10;1;4;4;0;0
591955;Zárubice;97;76;75;28;0;0;0;8;6;0;7;0;0;0;0;1;2;5;0;0;1;3;3;3;8;0;0
591963;Zašovice;102;77;77;24;0;0;0;9;6;0;3;4;2;1;0;0;0;1;0;0;1;7;7;7;5;0;0
591980;Zvěrkovice;197;137;136;39;0;0;1;21;20;0;8;0;2;0;0;1;0;5;1;1;3;12;2;10;9;1;0
591998;Želetava;1241;738;730;156;0;0;0;101;112;0;44;1;8;1;0;0;0;37;4;6;12;66;24;93;64;0;1
